Platform: BigSoundBank | File: bigsoundbank_rain_thunder_0740.mp3 | Category: heavy_rain_thunder | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0740.mp3
Platform: BigSoundBank | File: bigsoundbank_rain_pavement_1019.mp3 | Category: surface_pavement | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/1019.mp3
Platform: BigSoundBank | File: bigsoundbank_rain_window_0124.mp3 | Category: surface_window | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0124.mp3
Platform: Mixkit | File: mixkit_light_rain_loop.mp3 | Category: gentle_drizzle | Tier: AttributionOnly | License: Mixkit Free License | URL: https://assets.mixkit.co/active_storage/sfx/1255/1255-preview.mp3
Platform: SoundBible | File: soundbible_thunder_clap.mp3 | Category: heavy_rain_thunder | Tier: PublicDomain | License: Public Domain | URL: https://soundbible.com/grab.php?id=2215&type=mp3
Platform: BigSoundBank | File: bigsoundbank_rain_thunder_0740.mp3 | Category: heavy_rain_thunder (Surface: pavement) | Tier: PublicDomain | License: CC0 | SHA256: 056c5296303887b650e62a6dc3282f327f8a8560c061acbf577c5e0734acdb6e | URL: https://bigsoundbank.com/UPLOAD/mp3/0740.mp3
Platform: BigSoundBank | File: bigsoundbank_rain_pavement_1019.mp3 | Category: surface_pavement (Surface: pavement) | Tier: PublicDomain | License: CC0 | SHA256: b3050713d6303cde08379b0e45db568a216ca9d8068d2b93eb37c38a3edbe979 | URL: https://bigsoundbank.com/UPLOAD/mp3/1019.mp3
Platform: BigSoundBank | File: bigsoundbank_rain_window_0124.mp3 | Category: surface_window (Surface: glass) | Tier: PublicDomain | License: CC0 | SHA256: 102f5ef7cf5a8b15d2f4bcd806291b5aeafbe1409109f1a35410f319d1238fdf | URL: https://bigsoundbank.com/UPLOAD/mp3/0124.mp3
Platform: Mixkit | File: mixkit_light_rain_loop.mp3 | Category: gentle_drizzle (Surface: pavement) | Tier: AttributionOnly | License: Mixkit Free License | SHA256: 471d76dda9cd64ffd11056dbde24c87e434a862c25664c3db4e7dd6b4681a1be | URL: https://assets.mixkit.co/active_storage/sfx/1255/1255-preview.mp3
Platform: SoundBible | File: soundbible_thunder_clap.mp3 | Category: heavy_rain_thunder (Surface: pavement) | Tier: PublicDomain | License: Public Domain | SHA256: ee42bebc04f14fa79a172b0852d167dfaef6b5e03a5fa99c5cc7ccd49e7cfe83 | URL: https://soundbible.com/grab.php?id=2215&type=mp3
Platform: RainAI-Acoustic-Archive | File: mock_sample_999.wav | Category: tin_roof (Surface: tin_roof) | Tier: PublicDomain | License: CC0 | URL: local://rainai/mock_sample_999.wav
Platform: MockPlatform | File: mock_thunder_storm_001.mp3 | Category: heavy_rain_thunder (Surface: pavement) | Tier: PublicDomain | License: CC0 | URL: https://example.com/thunder_sample.mp3
Platform: RainAI-Acoustic-Archive | File: mock_sample_999.wav | Category: tin_roof (Surface: tin_roof) | Tier: PublicDomain | License: CC0 | URL: local://rainai/mock_sample_999.wav
